t_seconds,normalized_ch1
2.300000000000000002e-06,0.000000000000000000e+00
2.333333333333333157e-06,0.000000000000000000e+00
2.366666666666666736e-06,0.000000000000000000e+00
2.399999999999999891e-06,0.000000000000000000e+00
2.433333333333333470e-06,0.000000000000000000e+00
2.466666666666666626e-06,0.000000000000000000e+00
2.500000000000000205e-06,0.000000000000000000e+00
2.533333333333333360e-06,0.000000000000000000e+00
2.566666666666666515e-06,0.000000000000000000e+00
2.600000000000000094e-06,0.000000000000000000e+00
2.633333333333333249e-06,0.000000000000000000e+00
2.666666666666666828e-06,0.000000000000000000e+00
2.699999999999999984e-06,0.000000000000000000e+00
2.733333333333333139e-06,0.000000000000000000e+00
2.766666666666666718e-06,0.000000000000000000e+00
2.799999999999999873e-06,0.000000000000000000e+00
2.833333333333333452e-06,0.000000000000000000e+00
2.866666666666666608e-06,0.000000000000000000e+00
2.900000000000000186e-06,0.000000000000000000e+00
2.933333333333333342e-06,0.000000000000000000e+00
2.966666666666666497e-06,0.000000000000000000e+00
3.000000000000000076e-06,0.000000000000000000e+00
3.033333333333333231e-06,0.000000000000000000e+00
3.066666666666666810e-06,0.000000000000000000e+00
3.099999999999999966e-06,0.000000000000000000e+00
3.133333333333333544e-06,0.000000000000000000e+00
3.166666666666666700e-06,0.000000000000000000e+00
3.199999999999999855e-06,0.000000000000000000e+00
3.233333333333333434e-06,0.000000000000000000e+00
3.266666666666666589e-06,0.000000000000000000e+00
3.300000000000000168e-06,0.000000000000000000e+00
3.333333333333333324e-06,0.000000000000000000e+00
3.366666666666666479e-06,0.000000000000000000e+00
3.400000000000000058e-06,0.000000000000000000e+00
3.433333333333333213e-06,0.000000000000000000e+00
3.466666666666666792e-06,0.000000000000000000e+00
3.499999999999999947e-06,0.000000000000000000e+00
3.533333333333333526e-06,0.000000000000000000e+00
3.566666666666666682e-06,0.000000000000000000e+00
3.599999999999999837e-06,0.000000000000000000e+00
3.633333333333333416e-06,0.000000000000000000e+00
3.666666666666666571e-06,0.000000000000000000e+00
3.700000000000000150e-06,0.000000000000000000e+00
3.733333333333333306e-06,0.000000000000000000e+00
3.766666666666666461e-06,0.000000000000000000e+00
3.800000000000000040e-06,0.000000000000000000e+00
3.833333333333333619e-06,0.000000000000000000e+00
3.866666666666666351e-06,0.000000000000000000e+00
3.899999999999999929e-06,0.000000000000000000e+00
3.933333333333333508e-06,0.000000000000000000e+00
3.966666666666667087e-06,0.000000000000000000e+00
3.999999999999999819e-06,0.000000000000000000e+00
4.033333333333333398e-06,0.000000000000000000e+00
4.066666666666666977e-06,0.000000000000000000e+00
4.099999999999999709e-06,0.000000000000000000e+00
4.133333333333333287e-06,0.000000000000000000e+00
4.166666666666666866e-06,0.000000000000000000e+00
4.199999999999999598e-06,0.000000000000000000e+00
4.233333333333333177e-06,0.000000000000000000e+00
4.266666666666666756e-06,0.000000000000000000e+00
4.300000000000000335e-06,0.000000000000000000e+00
4.333333333333333067e-06,0.000000000000000000e+00
4.366666666666666646e-06,0.000000000000000000e+00
4.400000000000000224e-06,0.000000000000000000e+00
4.433333333333332956e-06,0.000000000000000000e+00
4.466666666666666535e-06,0.000000000000000000e+00
4.500000000000000114e-06,0.000000000000000000e+00
4.533333333333333693e-06,0.000000000000000000e+00
4.566666666666666425e-06,0.000000000000000000e+00
4.600000000000000004e-06,0.000000000000000000e+00
4.633333333333333582e-06,0.000000000000000000e+00
4.666666666666666314e-06,0.000000000000000000e+00
4.699999999999999893e-06,0.000000000000000000e+00
4.733333333333333472e-06,0.000000000000000000e+00
4.766666666666667051e-06,0.000000000000000000e+00
4.799999999999999783e-06,0.000000000000000000e+00
4.833333333333333362e-06,0.000000000000000000e+00
4.866666666666666941e-06,0.000000000000000000e+00
4.899999999999999672e-06,0.000000000000000000e+00
4.933333333333333251e-06,0.000000000000000000e+00
4.966666666666666830e-06,0.000000000000000000e+00
5.000000000000000409e-06,0.000000000000000000e+00
5.033333333333333141e-06,0.000000000000000000e+00
5.066666666666666720e-06,0.000000000000000000e+00
5.100000000000000299e-06,0.000000000000000000e+00
5.133333333333333030e-06,0.000000000000000000e+00
5.166666666666666609e-06,0.000000000000000000e+00
5.200000000000000188e-06,0.000000000000000000e+00
5.233333333333332920e-06,0.000000000000000000e+00
5.266666666666666499e-06,0.000000000000000000e+00
5.300000000000000078e-06,0.000000000000000000e+00
5.333333333333333657e-06,0.000000000000000000e+00
5.366666666666666389e-06,0.000000000000000000e+00
5.399999999999999967e-06,0.000000000000000000e+00
5.433333333333333546e-06,0.000000000000000000e+00
5.466666666666666278e-06,0.000000000000000000e+00
5.499999999999999857e-06,0.000000000000000000e+00
5.533333333333333436e-06,0.000000000000000000e+00
5.566666666666667015e-06,0.000000000000000000e+00
5.599999999999999747e-06,0.000000000000000000e+00
5.633333333333333325e-06,0.000000000000000000e+00
5.666666666666666904e-06,0.000000000000000000e+00
5.699999999999999636e-06,0.000000000000000000e+00
5.733333333333333215e-06,0.000000000000000000e+00
5.766666666666666794e-06,0.000000000000000000e+00
5.800000000000000373e-06,0.000000000000000000e+00
5.833333333333333105e-06,0.000000000000000000e+00
5.866666666666666684e-06,0.000000000000000000e+00
5.900000000000000262e-06,0.000000000000000000e+00
5.933333333333332994e-06,0.000000000000000000e+00
5.966666666666666573e-06,0.000000000000000000e+00
6.000000000000000152e-06,0.000000000000000000e+00
6.033333333333333731e-06,0.000000000000000000e+00
6.066666666666666463e-06,0.000000000000000000e+00
6.100000000000000042e-06,0.000000000000000000e+00
6.133333333333333620e-06,0.000000000000000000e+00
6.166666666666666352e-06,0.000000000000000000e+00
6.199999999999999931e-06,0.000000000000000000e+00
6.233333333333333510e-06,0.000000000000000000e+00
6.266666666666667089e-06,0.000000000000000000e+00
6.299999999999999821e-06,0.000000000000000000e+00
6.333333333333333400e-06,0.000000000000000000e+00
6.366666666666666979e-06,0.000000000000000000e+00
6.399999999999999710e-06,0.000000000000000000e+00
6.433333333333333289e-06,0.000000000000000000e+00
6.466666666666666868e-06,0.000000000000000000e+00
6.499999999999999600e-06,0.000000000000000000e+00
6.533333333333333179e-06,0.000000000000000000e+00
6.566666666666666758e-06,0.000000000000000000e+00
6.600000000000000337e-06,0.000000000000000000e+00
6.633333333333333068e-06,0.000000000000000000e+00
6.666666666666666647e-06,0.000000000000000000e+00
6.700000000000000226e-06,0.000000000000000000e+00
6.733333333333332958e-06,0.000000000000000000e+00
6.766666666666666537e-06,0.000000000000000000e+00
6.800000000000000116e-06,0.000000000000000000e+00
6.833333333333333695e-06,0.000000000000000000e+00
6.866666666666666427e-06,0.000000000000000000e+00
6.900000000000000005e-06,0.000000000000000000e+00
6.933333333333333584e-06,0.000000000000000000e+00
6.966666666666666316e-06,0.000000000000000000e+00
6.999999999999999895e-06,0.000000000000000000e+00
7.033333333333333474e-06,0.000000000000000000e+00
7.066666666666667053e-06,0.000000000000000000e+00
7.099999999999999785e-06,0.000000000000000000e+00
7.133333333333333363e-06,0.000000000000000000e+00
7.166666666666666942e-06,0.000000000000000000e+00
7.199999999999999674e-06,0.000000000000000000e+00
7.233333333333333253e-06,0.000000000000000000e+00
7.266666666666666832e-06,0.000000000000000000e+00
7.300000000000000411e-06,0.000000000000000000e+00
7.333333333333333143e-06,0.000000000000000000e+00
7.366666666666666722e-06,0.000000000000000000e+00
7.400000000000000300e-06,0.000000000000000000e+00
7.433333333333333032e-06,0.000000000000000000e+00
7.466666666666666611e-06,0.000000000000000000e+00
7.500000000000000190e-06,0.000000000000000000e+00
7.533333333333332922e-06,0.000000000000000000e+00
7.566666666666666501e-06,0.000000000000000000e+00
7.600000000000000080e-06,0.000000000000000000e+00
7.633333333333333658e-06,0.000000000000000000e+00
7.666666666666667237e-06,0.000000000000000000e+00
7.700000000000000816e-06,0.000000000000000000e+00
7.733333333333332701e-06,0.000000000000000000e+00
7.766666666666666280e-06,0.000000000000000000e+00
7.799999999999999859e-06,0.000000000000000000e+00
7.833333333333333438e-06,0.000000000000000000e+00
7.866666666666667017e-06,0.000000000000000000e+00
7.900000000000000595e-06,0.000000000000000000e+00
7.933333333333334174e-06,0.000000000000000000e+00
7.966666666666666059e-06,0.000000000000000000e+00
7.999999999999999638e-06,0.000000000000000000e+00
8.033333333333333217e-06,0.000000000000000000e+00
8.066666666666666796e-06,0.000000000000000000e+00
8.100000000000000375e-06,0.000000000000000000e+00
8.133333333333333953e-06,0.000000000000000000e+00
8.166666666666665838e-06,0.000000000000000000e+00
8.199999999999999417e-06,0.000000000000000000e+00
8.233333333333332996e-06,0.000000000000000000e+00
8.266666666666666575e-06,0.000000000000000000e+00
8.300000000000000154e-06,0.000000000000000000e+00
8.333333333333333733e-06,0.000000000000000000e+00
8.366666666666667312e-06,0.000000000000000000e+00
8.399999999999999196e-06,0.000000000000000000e+00
8.433333333333332775e-06,0.000000000000000000e+00
8.466666666666666354e-06,0.000000000000000000e+00
8.499999999999999933e-06,0.000000000000000000e+00
8.533333333333333512e-06,0.000000000000000000e+00
8.566666666666667091e-06,0.000000000000000000e+00
8.600000000000000670e-06,0.000000000000000000e+00
8.633333333333332554e-06,0.000000000000000000e+00
8.666666666666666133e-06,0.000000000000000000e+00
8.699999999999999712e-06,0.000000000000000000e+00
8.733333333333333291e-06,0.000000000000000000e+00
8.766666666666666870e-06,0.000000000000000000e+00
8.800000000000000449e-06,0.000000000000000000e+00
8.833333333333334028e-06,0.000000000000000000e+00
8.866666666666665913e-06,0.000000000000000000e+00
8.899999999999999491e-06,0.000000000000000000e+00
8.933333333333333070e-06,0.000000000000000000e+00
8.966666666666666649e-06,0.000000000000000000e+00
9.000000000000000228e-06,0.000000000000000000e+00
9.033333333333333807e-06,0.000000000000000000e+00
9.066666666666667386e-06,0.000000000000000000e+00
9.099999999999999271e-06,0.000000000000000000e+00
9.133333333333332849e-06,0.000000000000000000e+00
9.166666666666666428e-06,0.000000000000000000e+00
9.200000000000000007e-06,0.000000000000000000e+00
9.233333333333333586e-06,0.000000000000000000e+00
9.266666666666667165e-06,0.000000000000000000e+00
9.300000000000000744e-06,0.000000000000000000e+00
9.333333333333332629e-06,0.000000000000000000e+00
9.366666666666666208e-06,0.000000000000000000e+00
9.399999999999999786e-06,0.000000000000000000e+00
9.433333333333333365e-06,0.000000000000000000e+00
9.466666666666666944e-06,0.000000000000000000e+00
9.500000000000000523e-06,0.000000000000000000e+00
9.533333333333334102e-06,0.000000000000000000e+00
9.566666666666665987e-06,0.000000000000000000e+00
9.599999999999999566e-06,0.000000000000000000e+00
9.633333333333333144e-06,0.000000000000000000e+00
9.666666666666666723e-06,0.000000000000000000e+00
9.700000000000000302e-06,0.000000000000000000e+00
9.733333333333333881e-06,0.000000000000000000e+00
9.766666666666667460e-06,0.000000000000000000e+00
9.799999999999999345e-06,0.000000000000000000e+00
9.833333333333332924e-06,0.000000000000000000e+00
9.866666666666666503e-06,0.000000000000000000e+00
9.900000000000000081e-06,0.000000000000000000e+00
9.933333333333333660e-06,0.000000000000000000e+00
9.966666666666667239e-06,0.000000000000000000e+00
