in s,C1 in V
-7.5616E-06,1.78223E-01
-7.5600E-06,2.70996E-01
-7.5584E-06,3.24707E-01
-7.5568E-06,3.93066E-01
-7.5552E-06,4.22363E-01
-7.5536E-06,4.32129E-01
-7.5520E-06,4.32129E-01
-7.5504E-06,3.97949E-01
-7.5488E-06,3.63770E-01
-7.5472E-06,2.85645E-01
-7.5456E-06,2.07520E-01
-7.5440E-06,1.44043E-01
-7.5424E-06,2.68555E-02
-7.5408E-06,-5.12695E-02
-7.5392E-06,-1.44043E-01
-7.5376E-06,-2.22168E-01
-7.5360E-06,-3.00293E-01
-7.5344E-06,-3.44238E-01
-7.5328E-06,-3.73535E-01
-7.5312E-06,-3.97949E-01
-7.5296E-06,-3.88184E-01
-7.5280E-06,-3.63770E-01
-7.5264E-06,-3.29590E-01
-7.5248E-06,-2.61230E-01
-7.5232E-06,-1.97754E-01
-7.5216E-06,-1.00098E-01
-7.5200E-06,-2.44141E-03
-7.5184E-06,8.54492E-02
-7.5168E-06,1.63574E-01
-7.5152E-06,2.36816E-01
-7.5136E-06,3.19824E-01
-7.5120E-06,3.78418E-01
-7.5104E-06,4.27246E-01
-7.5088E-06,4.22363E-01
-7.5072E-06,4.22363E-01
-7.5056E-06,3.93066E-01
-7.5040E-06,3.73535E-01
-7.5024E-06,3.00293E-01
-7.5008E-06,2.17285E-01
-7.4992E-06,1.29395E-01
-7.4976E-06,4.15039E-02
-7.4960E-06,-5.61523E-02
-7.4944E-06,-1.34277E-01
-7.4928E-06,-2.41699E-01
-7.4912E-06,-2.95410E-01
-7.4896E-06,-3.49121E-01
-7.4880E-06,-3.88184E-01
-7.4864E-06,-4.07715E-01
-7.4848E-06,-4.12598E-01
-7.4832E-06,-3.88184E-01
-7.4816E-06,-3.24707E-01
-7.4800E-06,-2.66113E-01
-7.4784E-06,-1.97754E-01
-7.4768E-06,-1.24512E-01
-7.4752E-06,-1.70898E-02
-7.4736E-06,7.56836E-02
-7.4720E-06,1.53809E-01
-7.4704E-06,2.31934E-01
-7.4688E-06,3.05176E-01
-7.4672E-06,3.63770E-01
-7.4656E-06,4.12598E-01
-7.4640E-06,4.32129E-01
-7.4624E-06,4.32129E-01
-7.4608E-06,3.97949E-01
-7.4592E-06,3.63770E-01
-7.4576E-06,3.10059E-01
-7.4560E-06,2.41699E-01
-7.4544E-06,1.44043E-01
-7.4528E-06,6.10352E-02
-7.4512E-06,-3.66211E-02
-7.4496E-06,-1.29395E-01
-7.4480E-06,-2.17285E-01
-7.4464E-06,-2.70996E-01
-7.4448E-06,-3.24707E-01
-7.4432E-06,-3.78418E-01
-7.4416E-06,-4.07715E-01
-7.4400E-06,-3.93066E-01
-7.4384E-06,-3.88184E-01
-7.4368E-06,-3.29590E-01
-7.4352E-06,-2.70996E-01
-7.4336E-06,-2.12402E-01
-7.4320E-06,-1.14746E-01
-7.4304E-06,-2.68555E-02
-7.4288E-06,6.10352E-02
-7.4272E-06,1.53809E-01
-7.4256E-06,2.17285E-01
-7.4240E-06,3.05176E-01
-7.4224E-06,3.49121E-01
-7.4208E-06,3.97949E-01
-7.4192E-06,4.27246E-01
-7.4176E-06,4.27246E-01
-7.4160E-06,4.12598E-01
-7.4144E-06,3.73535E-01
-7.4128E-06,3.05176E-01
-7.4112E-06,2.46582E-01
-7.4096E-06,1.58691E-01
-7.4080E-06,7.56836E-02
-7.4064E-06,-2.68555E-02
-7.4048E-06,-1.19629E-01
-7.4032E-06,-1.87988E-01
-7.4016E-06,-2.70996E-01
-7.4000E-06,-3.34473E-01
-7.3984E-06,-3.78418E-01
-7.3968E-06,-4.07715E-01
-7.3952E-06,-4.12598E-01
-7.3936E-06,-3.83301E-01
-7.3920E-06,-3.44238E-01
-7.3904E-06,-2.70996E-01
-7.3888E-06,-2.17285E-01
-7.3872E-06,-1.29395E-01
-7.3856E-06,-6.10352E-02
-7.3840E-06,5.61523E-02
-7.3824E-06,1.34277E-01
-7.3808E-06,2.17285E-01
-7.3792E-06,2.95410E-01
-7.3776E-06,3.58887E-01
-7.3760E-06,4.07715E-01
-7.3744E-06,4.22363E-01
-7.3728E-06,4.32129E-01
-7.3712E-06,4.12598E-01
-7.3696E-06,3.83301E-01
-7.3680E-06,3.24707E-01
-7.3664E-06,2.56348E-01
