in s,C1 in V,C3 in V
-2.9332E-06,-3.98570E-02,-2.67102E+00
-2.9328E-06,-4.33727E-02,-2.74914E+00
-2.9324E-06,-4.45445E-02,-2.67102E+00
-2.9320E-06,-4.64977E-02,-2.71008E+00
-2.9316E-06,-4.70836E-02,-2.61242E+00
-2.9312E-06,-4.88414E-02,-2.59289E+00
-2.9308E-06,-5.00133E-02,-2.67102E+00
-2.9304E-06,-5.05992E-02,-2.57336E+00
-2.9300E-06,-5.13805E-02,-2.59289E+00
-2.9296E-06,-5.17711E-02,-2.57336E+00
-2.9292E-06,-5.23570E-02,-2.61242E+00
-2.9288E-06,-5.23570E-02,-2.63195E+00
-2.9284E-06,-5.27477E-02,-2.53430E+00
-2.9280E-06,-5.21617E-02,-2.45617E+00
-2.9276E-06,-5.25523E-02,-2.53430E+00
-2.9272E-06,-5.09898E-02,-2.55383E+00
-2.9268E-06,-5.04039E-02,-2.53430E+00
-2.9264E-06,-4.76695E-02,-2.55383E+00
-2.9260E-06,-4.72789E-02,-2.49523E+00
-2.9256E-06,-4.45445E-02,-2.51477E+00
-2.9252E-06,-4.29820E-02,-2.55383E+00
-2.9248E-06,-4.08336E-02,-2.53430E+00
-2.9244E-06,-4.00523E-02,-2.53430E+00
-2.9240E-06,-3.79039E-02,-2.45617E+00
-2.9236E-06,-3.71227E-02,-2.53430E+00
-2.9232E-06,-3.61461E-02,-2.51477E+00
-2.9228E-06,-3.55602E-02,-2.45617E+00
-2.9224E-06,-3.32164E-02,-2.43664E+00
-2.9220E-06,-3.24352E-02,-2.41711E+00
-2.9216E-06,-3.14586E-02,-2.37805E+00
-2.9212E-06,-2.98961E-02,-2.37805E+00
-2.9208E-06,-2.89195E-02,-2.49523E+00
-2.9204E-06,-2.79430E-02,-2.43664E+00
-2.9200E-06,-2.71617E-02,-2.51477E+00
-2.9196E-06,-2.63805E-02,-2.45617E+00
-2.9192E-06,-2.44273E-02,-2.41711E+00
-2.9188E-06,-2.36461E-02,-2.51477E+00
