in s,C2 in V
-1.1923850E+00,2.23242E-03
-1.1923666E+00,1.25586E-03
-1.1923481E+00,2.23242E-03
-1.1923296E+00,2.23242E-03
-1.1923111E+00,2.23242E-03
-1.1922926E+00,1.25586E-03
-1.1922742E+00,2.72070E-03
-1.1922557E+00,1.25586E-03
-1.1922372E+00,1.74414E-03
-1.1922187E+00,1.25586E-03
-1.1922002E+00,4.18555E-03
-1.1921818E+00,7.67578E-04
-1.1921633E+00,7.67578E-04
-1.1921448E+00,1.25586E-03
-1.1921263E+00,1.74414E-03
-1.1921078E+00,7.67578E-04
-1.1920894E+00,2.72070E-03
-1.1920709E+00,2.23242E-03
-1.1920524E+00,-2.08984E-04
-1.1920339E+00,1.25586E-03
-1.1920154E+00,1.74414E-03
-1.1919970E+00,2.72070E-03
-1.1919785E+00,7.67578E-04
-1.1919600E+00,1.74414E-03
-1.1919415E+00,1.25586E-03
-1.1919230E+00,1.25586E-03
-1.1919046E+00,1.25586E-03
-1.1918861E+00,2.72070E-03
-1.1918676E+00,2.23242E-03
-1.1918491E+00,1.25586E-03
-1.1918306E+00,2.72070E-03
-1.1918122E+00,1.74414E-03
-1.1917937E+00,3.20898E-03
-1.1917752E+00,1.74414E-03
-1.1917567E+00,1.74414E-03
-1.1917382E+00,7.67578E-04
-1.1917198E+00,1.25586E-03
-1.1917013E+00,2.72070E-03
-1.1916828E+00,1.74414E-03
-1.1916643E+00,1.74414E-03
-1.1916458E+00,2.23242E-03
-1.1916274E+00,1.25586E-03
-1.1916089E+00,1.25586E-03
-1.1915904E+00,1.25586E-03
-1.1915719E+00,1.74414E-03
-1.1915534E+00,7.67578E-04
-1.1915350E+00,1.74414E-03
-1.1915165E+00,1.25586E-03
-1.1914980E+00,2.23242E-03
-1.1914795E+00,1.25586E-03
-1.1914610E+00,2.23242E-03
-1.1914426E+00,2.72070E-03
-1.1914241E+00,2.23242E-03
-1.1914056E+00,1.25586E-03
-1.1913871E+00,7.67578E-04
-1.1913686E+00,1.25586E-03
-1.1913502E+00,2.23242E-03
-1.1913317E+00,2.23242E-03
-1.1913132E+00,2.72070E-03
-1.1912947E+00,1.25586E-03
-1.1912762E+00,2.23242E-03
-1.1912578E+00,1.25586E-03
-1.1912393E+00,2.72070E-03
-1.1912208E+00,1.25586E-03
-1.1912023E+00,1.25586E-03
-1.1911838E+00,2.23242E-03
-1.1911654E+00,2.79297E-04
-1.1911469E+00,1.25586E-03
-1.1911284E+00,2.23242E-03
-1.1911099E+00,2.23242E-03
-1.1910914E+00,2.72070E-03
-1.1910730E+00,2.79297E-04
-1.1910545E+00,1.25586E-03
-1.1910360E+00,1.25586E-03
-1.1910175E+00,1.25586E-03
-1.1909990E+00,1.74414E-03
-1.1909806E+00,1.74414E-03
-1.1909621E+00,-6.97266E-04
-1.1909436E+00,1.74414E-03
-1.1909251E+00,1.74414E-03
-1.1909066E+00,1.74414E-03
-1.1908882E+00,1.25586E-03
-1.1908697E+00,1.74414E-03
-1.1908512E+00,2.72070E-03
-1.1908327E+00,1.74414E-03
-1.1908142E+00,2.23242E-03
-1.1907958E+00,2.23242E-03
-1.1907773E+00,1.25586E-03
-1.1907588E+00,1.25586E-03
-1.1907403E+00,2.23242E-03
-1.1907218E+00,2.72070E-03
-1.1907034E+00,-1.18555E-03
-1.1906849E+00,1.74414E-03
-1.1906664E+00,1.25586E-03
-1.1906479E+00,1.25586E-03
-1.1906294E+00,2.23242E-03
-1.1906110E+00,1.25586E-03
-1.1905925E+00,1.74414E-03
-1.1905740E+00,2.23242E-03
-1.1905555E+00,-2.08984E-04
-1.1905370E+00,2.72070E-03
-1.1905186E+00,1.74414E-03
-1.1905001E+00,1.25586E-03
-1.1904816E+00,3.69727E-03
-1.1904631E+00,1.25586E-03
-1.1904446E+00,1.74414E-03
-1.1904262E+00,7.67578E-04
-1.1904077E+00,1.25586E-03
-1.1903892E+00,2.72070E-03
-1.1903707E+00,-2.08984E-04
-1.1903522E+00,2.23242E-03
-1.1903338E+00,2.23242E-03
-1.1903153E+00,7.67578E-04
-1.1902968E+00,1.25586E-03
-1.1902783E+00,2.23242E-03
-1.1902598E+00,1.25586E-03
-1.1902414E+00,2.23242E-03
-1.1902229E+00,2.72070E-03
-1.1902044E+00,1.25586E-03
-1.1901859E+00,1.25586E-03
-1.1901674E+00,2.23242E-03
-1.1901490E+00,1.25586E-03
-1.1901305E+00,2.23242E-03
-1.1901120E+00,2.79297E-04
-1.1900935E+00,1.25586E-03
-1.1900750E+00,1.25586E-03
-1.1900566E+00,2.72070E-03
-1.1900381E+00,1.25586E-03
-1.1900196E+00,1.25586E-03
-1.1900011E+00,2.72070E-03
-1.1899826E+00,1.74414E-03
-1.1899642E+00,1.25586E-03
-1.1899457E+00,3.20898E-03
-1.1899272E+00,1.25586E-03
-1.1899087E+00,3.20898E-03
-1.1898902E+00,1.25586E-03
-1.1898718E+00,1.74414E-03
-1.1898533E+00,1.74414E-03
-1.1898348E+00,2.72070E-03
-1.1898163E+00,2.23242E-03
-1.1897978E+00,1.74414E-03
-1.1897794E+00,1.25586E-03
-1.1897609E+00,2.72070E-03
-1.1897424E+00,1.25586E-03
-1.1897239E+00,1.25586E-03
-1.1897054E+00,-6.97266E-04
-1.1896870E+00,1.25586E-03
-1.1896685E+00,1.25586E-03
-1.1896500E+00,1.25586E-03
-1.1896315E+00,2.72070E-03
-1.1896130E+00,1.74414E-03
-1.1895946E+00,1.25586E-03
-1.1895761E+00,1.74414E-03
-1.1895576E+00,1.25586E-03
-1.1895391E+00,7.67578E-04
-1.1895206E+00,1.25586E-03
-1.1895022E+00,3.20898E-03
-1.1894837E+00,1.74414E-03
-1.1894652E+00,1.74414E-03
-1.1894467E+00,1.74414E-03
-1.1894282E+00,1.74414E-03
-1.1894098E+00,7.67578E-04
-1.1893913E+00,1.74414E-03
-1.1893728E+00,1.74414E-03
-1.1893543E+00,1.25586E-03
-1.1893358E+00,1.74414E-03
-1.1893174E+00,1.74414E-03
-1.1892989E+00,1.25586E-03
-1.1892804E+00,1.25586E-03
-1.1892619E+00,2.79297E-04
-1.1892434E+00,1.25586E-03
-1.1892250E+00,7.67578E-04
-1.1892065E+00,7.67578E-04
-1.1891880E+00,1.25586E-03
-1.1891695E+00,1.25586E-03
-1.1891510E+00,2.23242E-03
-1.1891326E+00,2.23242E-03
-1.1891141E+00,2.72070E-03
-1.1890956E+00,1.74414E-03
-1.1890771E+00,-2.08984E-04
-1.1890586E+00,1.25586E-03
-1.1890402E+00,7.67578E-04
-1.1890217E+00,2.23242E-03
-1.1890032E+00,2.72070E-03
-1.1889847E+00,2.23242E-03
-1.1889662E+00,1.74414E-03
-1.1889478E+00,2.72070E-03
-1.1889293E+00,2.23242E-03
-1.1889108E+00,1.25586E-03
-1.1888923E+00,1.74414E-03
-1.1888738E+00,1.74414E-03
-1.1888554E+00,1.25586E-03
-1.1888369E+00,1.25586E-03
-1.1888184E+00,2.23242E-03
-1.1887999E+00,2.72070E-03
-1.1887814E+00,2.72070E-03
-1.1887630E+00,2.72070E-03
-1.1887445E+00,1.74414E-03
-1.1887260E+00,2.79297E-04
-1.1887075E+00,1.25586E-03
-1.1886890E+00,2.72070E-03
-1.1886706E+00,2.72070E-03
-1.1886521E+00,1.74414E-03
-1.1886336E+00,3.20898E-03
-1.1886151E+00,2.23242E-03
-1.1885966E+00,7.67578E-04
-1.1885782E+00,1.25586E-03
-1.1885597E+00,1.25586E-03
-1.1885412E+00,3.20898E-03
-1.1885227E+00,1.25586E-03
-1.1885042E+00,7.67578E-04
-1.1884858E+00,1.25586E-03
-1.1884673E+00,1.25586E-03
-1.1884488E+00,1.25586E-03
-1.1884303E+00,1.74414E-03
-1.1884118E+00,2.23242E-03
-1.1883934E+00,1.74414E-03
-1.1883749E+00,1.74414E-03
-1.1883564E+00,2.23242E-03
-1.1883379E+00,3.20898E-03
-1.1883194E+00,1.25586E-03
-1.1883010E+00,1.25586E-03
-1.1882825E+00,1.74414E-03
-1.1882640E+00,1.25586E-03
-1.1882455E+00,2.72070E-03
-1.1882270E+00,1.25586E-03
-1.1882086E+00,1.74414E-03
-1.1881901E+00,2.79297E-04
-1.1881716E+00,3.20898E-03
-1.1881531E+00,2.72070E-03
-1.1881346E+00,1.25586E-03
-1.1881162E+00,2.23242E-03
-1.1880977E+00,2.23242E-03
-1.1880792E+00,1.25586E-03
-1.1880607E+00,1.25586E-03
-1.1880422E+00,2.79297E-04
-1.1880238E+00,2.23242E-03
-1.1880053E+00,1.25586E-03
-1.1879868E+00,2.72070E-03
-1.1879683E+00,7.67578E-04
-1.1879498E+00,1.74414E-03
-1.1879314E+00,3.20898E-03
-1.1879129E+00,1.74414E-03
-1.1878944E+00,1.74414E-03
-1.1878759E+00,1.74414E-03
-1.1878574E+00,2.72070E-03
-1.1878390E+00,3.69727E-03
-1.1878205E+00,2.79297E-04
-1.1878020E+00,3.20898E-03
-1.1877835E+00,3.20898E-03
-1.1877650E+00,1.74414E-03
-1.1877466E+00,1.74414E-03
-1.1877281E+00,1.74414E-03
-1.1877096E+00,2.23242E-03
-1.1876911E+00,3.20898E-03
-1.1876726E+00,2.72070E-03
-1.1876542E+00,2.23242E-03
-1.1876357E+00,7.67578E-04
-1.1876172E+00,7.67578E-04
-1.1875987E+00,2.72070E-03
-1.1875802E+00,2.23242E-03
-1.1875618E+00,1.74414E-03
-1.1875433E+00,1.74414E-03
-1.1875248E+00,1.25586E-03
-1.1875063E+00,1.25586E-03
-1.1874878E+00,1.25586E-03
-1.1874694E+00,1.74414E-03
-1.1874509E+00,2.72070E-03
-1.1874324E+00,3.20898E-03
-1.1874139E+00,1.74414E-03
-1.1873954E+00,1.25586E-03
-1.1873770E+00,7.67578E-04
-1.1873585E+00,1.25586E-03
-1.1873400E+00,2.23242E-03
-1.1873215E+00,2.23242E-03
-1.1873030E+00,1.25586E-03
-1.1872846E+00,3.20898E-03
-1.1872661E+00,1.25586E-03
-1.1872476E+00,1.74414E-03
-1.1872291E+00,2.72070E-03
-1.1872106E+00,7.67578E-04
-1.1871922E+00,2.23242E-03
-1.1871737E+00,2.79297E-04
-1.1871552E+00,2.79297E-04
-1.1871367E+00,1.74414E-03
-1.1871182E+00,1.74414E-03
-1.1870998E+00,1.25586E-03
-1.1870813E+00,7.67578E-04
-1.1870628E+00,1.25586E-03
-1.1870443E+00,1.74414E-03
-1.1870258E+00,2.72070E-03
-1.1870074E+00,7.67578E-04
-1.1869889E+00,2.72070E-03
-1.1869704E+00,2.72070E-03
-1.1869519E+00,1.25586E-03
-1.1869334E+00,2.79297E-04
-1.1869150E+00,2.23242E-03
-1.1868965E+00,1.25586E-03
-1.1868780E+00,1.74414E-03
-1.1868595E+00,1.74414E-03
-1.1868410E+00,1.25586E-03
-1.1868226E+00,1.74414E-03
-1.1868041E+00,2.23242E-03
-1.1867856E+00,2.79297E-04
-1.1867671E+00,2.23242E-03
-1.1867486E+00,1.74414E-03
-1.1867302E+00,-2.08984E-04
-1.1867117E+00,1.25586E-03
-1.1866932E+00,2.23242E-03
-1.1866747E+00,2.23242E-03
-1.1866562E+00,7.67578E-04
-1.1866378E+00,-2.08984E-04
-1.1866193E+00,2.23242E-03
-1.1866008E+00,2.23242E-03
-1.1865823E+00,2.23242E-03
-1.1865638E+00,2.72070E-03
-1.1865454E+00,1.25586E-03
-1.1865269E+00,2.23242E-03
-1.1865084E+00,1.25586E-03
-1.1864899E+00,7.67578E-04
-1.1864714E+00,1.25586E-03
