in s,C2 in V
-2.9024E-06,-4.81192E-01
-2.9016E-06,-4.81192E-01
-2.9008E-06,-4.85450E-01
-2.9000E-06,-4.87579E-01
-2.8992E-06,-4.87579E-01
-2.8984E-06,-4.83321E-01
-2.8976E-06,-4.83321E-01
-2.8968E-06,-4.79064E-01
-2.8960E-06,-4.87579E-01
-2.8952E-06,-4.83321E-01
-2.8944E-06,-4.83321E-01
-2.8936E-06,-4.85450E-01
-2.8928E-06,-4.83321E-01
-2.8920E-06,-4.85450E-01
-2.8912E-06,-4.89708E-01
-2.8904E-06,-4.79064E-01
-2.8896E-06,-4.81192E-01
-2.8888E-06,-4.79064E-01
-2.8880E-06,-4.79064E-01
-2.8872E-06,-4.83321E-01
-2.8864E-06,-4.83321E-01
-2.8856E-06,-4.79064E-01
-2.8848E-06,-4.79064E-01
-2.8840E-06,-4.85450E-01
-2.8832E-06,-4.81192E-01
-2.8824E-06,-4.85450E-01
-2.8816E-06,-4.83321E-01
-2.8808E-06,-4.85450E-01
-2.8800E-06,-4.85450E-01
-2.8792E-06,-4.76935E-01
-2.8784E-06,-4.87579E-01
-2.8776E-06,-4.83321E-01
-2.8768E-06,-4.87579E-01
-2.8760E-06,-4.79064E-01
-2.8752E-06,-4.81192E-01
-2.8744E-06,-4.79064E-01
-2.8736E-06,-4.83321E-01
-2.8728E-06,-4.85450E-01
-2.8720E-06,-4.79064E-01
-2.8712E-06,-4.81192E-01
-2.8704E-06,-4.89708E-01
-2.8696E-06,-4.89708E-01
-2.8688E-06,-4.91837E-01
-2.8680E-06,-4.91837E-01
-2.8672E-06,-4.79064E-01
-2.8664E-06,-4.79064E-01
-2.8656E-06,-4.79064E-01
-2.8648E-06,-4.83321E-01
-2.8640E-06,-4.83321E-01
-2.8632E-06,-4.87579E-01
-2.8624E-06,-4.79064E-01
-2.8616E-06,-4.85450E-01
-2.8608E-06,-4.79064E-01
-2.8600E-06,-4.85450E-01
-2.8592E-06,-4.81192E-01
-2.8584E-06,-4.74806E-01
-2.8576E-06,-4.79064E-01
-2.8568E-06,-4.79064E-01
-2.8560E-06,-4.83321E-01
-2.8552E-06,-4.81192E-01
-2.8544E-06,-4.79064E-01
-2.8536E-06,-4.81192E-01
-2.8528E-06,-4.85450E-01
-2.8520E-06,-4.72677E-01
-2.8512E-06,-4.83321E-01
-2.8504E-06,-4.81192E-01
-2.8496E-06,-4.79064E-01
-2.8488E-06,-4.74806E-01
-2.8480E-06,-4.79064E-01
-2.8472E-06,-4.85450E-01
-2.8464E-06,-4.79064E-01
-2.8456E-06,-4.79064E-01
-2.8448E-06,-4.81192E-01
-2.8440E-06,-4.83321E-01
-2.8432E-06,-4.81192E-01
-2.8424E-06,-4.79064E-01
-2.8416E-06,-4.85450E-01
-2.8408E-06,-4.76935E-01
-2.8400E-06,-4.79064E-01
-2.8392E-06,-4.83321E-01
-2.8384E-06,-4.79064E-01
-2.8376E-06,-4.79064E-01
-2.8368E-06,-4.87579E-01
-2.8360E-06,-4.85450E-01
-2.8352E-06,-4.79064E-01
-2.8344E-06,-4.79064E-01
-2.8336E-06,-4.79064E-01
-2.8328E-06,-4.81192E-01
-2.8320E-06,-4.83321E-01
-2.8312E-06,-4.83321E-01
-2.8304E-06,-4.76935E-01
-2.8296E-06,-4.81192E-01
-2.8288E-06,-4.81192E-01
-2.8280E-06,-4.81192E-01
-2.8272E-06,-4.85450E-01
-2.8264E-06,-4.79064E-01
-2.8256E-06,-4.76935E-01
-2.8248E-06,-4.79064E-01
-2.8240E-06,-4.79064E-01
-2.8232E-06,-4.83321E-01
-2.8224E-06,-4.85450E-01
-2.8216E-06,-4.83321E-01
-2.8208E-06,-4.85450E-01
-2.8200E-06,-4.83321E-01
-2.8192E-06,-4.81192E-01
-2.8184E-06,-4.85450E-01
-2.8176E-06,-4.83321E-01
-2.8168E-06,-4.83321E-01
-2.8160E-06,-4.89708E-01
-2.8152E-06,-4.81192E-01
-2.8144E-06,-4.85450E-01
-2.8136E-06,-4.85450E-01
-2.8128E-06,-4.81192E-01
-2.8120E-06,-4.81192E-01
-2.8112E-06,-4.79064E-01
-2.8104E-06,-4.74806E-01
-2.8096E-06,-4.81192E-01
-2.8088E-06,-4.87579E-01
-2.8080E-06,-4.89708E-01
-2.8072E-06,-4.83321E-01
-2.8064E-06,-4.85450E-01
-2.8056E-06,-4.85450E-01
-2.8048E-06,-4.83321E-01
-2.8040E-06,-4.83321E-01
-2.8032E-06,-4.85450E-01
-2.8024E-06,-4.85450E-01
-2.8016E-06,-4.79064E-01
-2.8008E-06,-4.83321E-01
-2.8000E-06,-4.87579E-01
-2.7992E-06,-4.81192E-01
-2.7984E-06,-4.79064E-01
-2.7976E-06,-4.83321E-01
-2.7968E-06,-4.79064E-01
-2.7960E-06,-4.83321E-01
-2.7952E-06,-4.79064E-01
-2.7944E-06,-4.79064E-01
-2.7936E-06,-4.83321E-01
-2.7928E-06,-4.74806E-01
-2.7920E-06,-4.79064E-01
-2.7912E-06,-4.79064E-01
-2.7904E-06,-4.85450E-01
-2.7896E-06,-4.83321E-01
-2.7888E-06,-4.79064E-01
-2.7880E-06,-4.76935E-01
-2.7872E-06,-4.89708E-01
-2.7864E-06,-4.76935E-01
-2.7856E-06,-4.85450E-01
-2.7848E-06,-4.83321E-01
-2.7840E-06,-4.83321E-01
-2.7832E-06,-4.85450E-01
-2.7824E-06,-4.83321E-01
-2.7816E-06,-4.79064E-01
-2.7808E-06,-4.74806E-01
-2.7800E-06,-4.85450E-01
-2.7792E-06,-4.76935E-01
-2.7784E-06,-4.74806E-01
-2.7776E-06,-4.76935E-01
-2.7768E-06,-4.83321E-01
-2.7760E-06,-4.81192E-01
-2.7752E-06,-4.83321E-01
-2.7744E-06,-4.81192E-01
-2.7736E-06,-4.76935E-01
-2.7728E-06,-4.81192E-01
-2.7720E-06,-4.76935E-01
-2.7712E-06,-4.85450E-01
-2.7704E-06,-4.85450E-01
-2.7696E-06,-4.81192E-01
-2.7688E-06,-4.85450E-01
-2.7680E-06,-4.83321E-01
-2.7672E-06,-4.83321E-01
-2.7664E-06,-4.83321E-01
-2.7656E-06,-4.72677E-01
-2.7648E-06,-4.81192E-01
-2.7640E-06,-4.79064E-01
-2.7632E-06,-4.81192E-01
-2.7624E-06,-4.85450E-01
-2.7616E-06,-4.81192E-01
-2.7608E-06,-4.83321E-01
-2.7600E-06,-4.81192E-01
-2.7592E-06,-4.81192E-01
-2.7584E-06,-4.85450E-01
-2.7576E-06,-4.83321E-01
-2.7568E-06,-4.76935E-01
-2.7560E-06,-4.83321E-01
-2.7552E-06,-4.89708E-01
-2.7544E-06,-4.83321E-01
-2.7536E-06,-4.83321E-01
-2.7528E-06,-4.76935E-01
-2.7520E-06,-4.79064E-01
-2.7512E-06,-4.81192E-01
-2.7504E-06,-4.76935E-01
-2.7496E-06,-4.76935E-01
-2.7488E-06,-4.79064E-01
-2.7480E-06,-4.81192E-01
-2.7472E-06,-4.81192E-01
-2.7464E-06,-4.79064E-01
-2.7456E-06,-4.79064E-01
-2.7448E-06,-4.76935E-01
-2.7440E-06,-4.85450E-01
-2.7432E-06,-4.79064E-01
-2.7424E-06,-4.93966E-01
-2.7416E-06,-4.76935E-01
-2.7408E-06,-4.74806E-01
-2.7400E-06,-4.83321E-01
-2.7392E-06,-4.81192E-01
-2.7384E-06,-4.85450E-01
-2.7376E-06,-4.87579E-01
-2.7368E-06,-4.74806E-01
-2.7360E-06,-4.79064E-01
-2.7352E-06,-4.79064E-01
-2.7344E-06,-4.83321E-01
-2.7336E-06,-4.83321E-01
-2.7328E-06,-4.76935E-01
-2.7320E-06,-4.79064E-01
-2.7312E-06,-4.74806E-01
-2.7304E-06,-4.72677E-01
-2.7296E-06,-4.76935E-01
-2.7288E-06,-4.76935E-01
-2.7280E-06,-4.74806E-01
-2.7272E-06,-4.74806E-01
-2.7264E-06,-4.85450E-01
-2.7256E-06,-4.83321E-01
-2.7248E-06,-4.76935E-01
-2.7240E-06,-4.76935E-01
-2.7232E-06,-4.83321E-01
-2.7224E-06,-4.81192E-01
-2.7216E-06,-4.81192E-01
-2.7208E-06,-4.81192E-01
-2.7200E-06,-4.74806E-01
-2.7192E-06,-4.81192E-01
-2.7184E-06,-4.85450E-01
-2.7176E-06,-4.83321E-01
-2.7168E-06,-4.91837E-01
-2.7160E-06,-4.81192E-01
-2.7152E-06,-4.83321E-01
-2.7144E-06,-4.76935E-01
-2.7136E-06,-4.79064E-01
-2.7128E-06,-4.79064E-01
-2.7120E-06,-4.85450E-01
-2.7112E-06,-4.81192E-01
-2.7104E-06,-4.81192E-01
-2.7096E-06,-4.83321E-01
-2.7088E-06,-4.76935E-01
-2.7080E-06,-4.74806E-01
-2.7072E-06,-4.76935E-01
-2.7064E-06,-4.74806E-01
-2.7056E-06,-4.74806E-01
-2.7048E-06,-4.74806E-01
-2.7040E-06,-4.83321E-01
-2.7032E-06,-4.79064E-01
-2.7024E-06,-4.85450E-01
-2.7016E-06,-4.81192E-01
-2.7008E-06,-4.85450E-01
-2.7000E-06,-4.72677E-01
-2.6992E-06,-4.76935E-01
-2.6984E-06,-4.76935E-01
-2.6976E-06,-4.89708E-01
-2.6968E-06,-4.85450E-01
-2.6960E-06,-4.89708E-01
-2.6952E-06,-4.85450E-01
-2.6944E-06,-4.74806E-01
-2.6936E-06,-4.81192E-01
-2.6928E-06,-4.79064E-01
-2.6920E-06,-4.83321E-01
-2.6912E-06,-4.87579E-01
-2.6904E-06,-4.81192E-01
-2.6896E-06,-4.79064E-01
-2.6888E-06,-4.79064E-01
-2.6880E-06,-4.85450E-01
-2.6872E-06,-4.87579E-01
-2.6864E-06,-4.87579E-01
-2.6856E-06,-4.83321E-01
-2.6848E-06,-4.83321E-01
-2.6840E-06,-4.74806E-01
-2.6832E-06,-4.76935E-01
-2.6824E-06,-4.74806E-01
-2.6816E-06,-4.79064E-01
-2.6808E-06,-4.81192E-01
-2.6800E-06,-4.76935E-01
-2.6792E-06,-4.79064E-01
-2.6784E-06,-4.81192E-01
-2.6776E-06,-4.85450E-01
-2.6768E-06,-4.79064E-01
-2.6760E-06,-4.79064E-01
-2.6752E-06,-4.81192E-01
-2.6744E-06,-4.76935E-01
-2.6736E-06,-4.83321E-01
-2.6728E-06,-4.76935E-01
-2.6720E-06,-4.83321E-01
-2.6712E-06,-4.81192E-01
-2.6704E-06,-4.83321E-01
-2.6696E-06,-4.68419E-01
-2.6688E-06,-4.47130E-01
-2.6680E-06,-3.81134E-01
-2.6672E-06,-2.40626E-01
-2.6664E-06,-3.19932E-02
-2.6656E-06,1.46835E-01
-2.6648E-06,2.97987E-01
-2.6640E-06,3.98046E-01
-2.6632E-06,4.59784E-01
-2.6624E-06,4.87460E-01
-2.6616E-06,5.00233E-01
-2.6608E-06,5.02362E-01
-2.6600E-06,5.13007E-01
-2.6592E-06,5.02362E-01
-2.6584E-06,5.10878E-01
-2.6576E-06,5.00233E-01
-2.6568E-06,5.08749E-01
-2.6560E-06,5.17265E-01
-2.6552E-06,5.13007E-01
-2.6544E-06,5.21522E-01
-2.6536E-06,5.23651E-01
-2.6528E-06,5.21522E-01
-2.6520E-06,5.21522E-01
-2.6512E-06,5.21522E-01
-2.6504E-06,5.21522E-01
-2.6496E-06,5.25780E-01
-2.6488E-06,5.17265E-01
-2.6480E-06,5.21522E-01
-2.6472E-06,5.25780E-01
-2.6464E-06,5.21522E-01
-2.6456E-06,5.27909E-01
-2.6448E-06,5.25780E-01
-2.6440E-06,5.21522E-01
-2.6432E-06,5.17265E-01
-2.6424E-06,5.15136E-01
-2.6416E-06,5.21522E-01
-2.6408E-06,5.21522E-01
-2.6400E-06,5.21522E-01
-2.6392E-06,5.23651E-01
-2.6384E-06,5.25780E-01
-2.6376E-06,5.23651E-01
-2.6368E-06,5.21522E-01
-2.6360E-06,5.15136E-01
-2.6352E-06,5.25780E-01
-2.6344E-06,5.25780E-01
-2.6336E-06,5.21522E-01
-2.6328E-06,5.21522E-01
-2.6320E-06,5.17265E-01
-2.6312E-06,5.17265E-01
-2.6304E-06,5.21522E-01
-2.6296E-06,5.21522E-01
-2.6288E-06,5.23651E-01
-2.6280E-06,5.27909E-01
-2.6272E-06,5.19394E-01
-2.6264E-06,5.19394E-01
-2.6256E-06,5.19394E-01
-2.6248E-06,5.17265E-01
-2.6240E-06,5.17265E-01
-2.6232E-06,5.32167E-01
-2.6224E-06,5.21522E-01
-2.6216E-06,5.15136E-01
-2.6208E-06,5.25780E-01
-2.6200E-06,5.21522E-01
-2.6192E-06,5.13007E-01
-2.6184E-06,5.10878E-01
-2.6176E-06,5.15136E-01
-2.6168E-06,5.17265E-01
-2.6160E-06,5.19394E-01
-2.6152E-06,5.19394E-01
-2.6144E-06,5.21522E-01
-2.6136E-06,5.10878E-01
-2.6128E-06,5.13007E-01
-2.6120E-06,5.10878E-01
-2.6112E-06,5.15136E-01
-2.6104E-06,5.15136E-01
-2.6096E-06,5.13007E-01
-2.6088E-06,5.15136E-01
-2.6080E-06,5.10878E-01
-2.6072E-06,5.15136E-01
-2.6064E-06,5.17265E-01
-2.6056E-06,5.10878E-01
-2.6048E-06,5.17265E-01
-2.6040E-06,5.21522E-01
-2.6032E-06,5.17265E-01
-2.6024E-06,5.13007E-01
-2.6016E-06,5.13007E-01
-2.6008E-06,5.15136E-01
-2.6000E-06,5.17265E-01
-2.5992E-06,5.17265E-01
-2.5984E-06,5.23651E-01
-2.5976E-06,5.10878E-01
-2.5968E-06,5.13007E-01
-2.5960E-06,5.13007E-01
-2.5952E-06,5.21522E-01
-2.5944E-06,5.19394E-01
-2.5936E-06,5.10878E-01
-2.5928E-06,5.13007E-01
-2.5920E-06,5.21522E-01
-2.5912E-06,5.17265E-01
-2.5904E-06,5.23651E-01
-2.5896E-06,5.21522E-01
-2.5888E-06,5.17265E-01
-2.5880E-06,5.13007E-01
-2.5872E-06,5.21522E-01
-2.5864E-06,5.15136E-01
-2.5856E-06,5.19394E-01
-2.5848E-06,5.17265E-01
-2.5840E-06,5.17265E-01
-2.5832E-06,5.23651E-01
-2.5824E-06,5.15136E-01
-2.5816E-06,5.17265E-01
-2.5808E-06,5.10878E-01
-2.5800E-06,5.08749E-01
-2.5792E-06,5.23651E-01
-2.5784E-06,5.19394E-01
-2.5776E-06,5.17265E-01
-2.5768E-06,5.21522E-01
-2.5760E-06,5.13007E-01
-2.5752E-06,5.13007E-01
-2.5744E-06,5.15136E-01
-2.5736E-06,5.19394E-01
-2.5728E-06,5.23651E-01
-2.5720E-06,5.21522E-01
-2.5712E-06,5.25780E-01
-2.5704E-06,5.19394E-01
-2.5696E-06,5.17265E-01
-2.5688E-06,5.15136E-01
-2.5680E-06,5.13007E-01
-2.5672E-06,5.13007E-01
-2.5664E-06,5.21522E-01
-2.5656E-06,5.17265E-01
-2.5648E-06,5.17265E-01
-2.5640E-06,5.15136E-01
-2.5632E-06,5.23651E-01
-2.5624E-06,5.17265E-01
-2.5616E-06,5.27909E-01
-2.5608E-06,5.15136E-01
-2.5600E-06,5.17265E-01
-2.5592E-06,5.21522E-01
-2.5584E-06,5.19394E-01
-2.5576E-06,5.17265E-01
-2.5568E-06,5.19394E-01
-2.5560E-06,5.13007E-01
-2.5552E-06,5.08749E-01
-2.5544E-06,5.21522E-01
-2.5536E-06,5.17265E-01
-2.5528E-06,5.15136E-01
-2.5520E-06,5.21522E-01
-2.5512E-06,5.21522E-01
-2.5504E-06,5.17265E-01
-2.5496E-06,5.08749E-01
-2.5488E-06,5.13007E-01
-2.5480E-06,5.15136E-01
-2.5472E-06,5.21522E-01
-2.5464E-06,5.21522E-01
-2.5456E-06,5.21522E-01
-2.5448E-06,5.21522E-01
-2.5440E-06,5.19394E-01
-2.5432E-06,5.23651E-01
-2.5424E-06,5.13007E-01
-2.5416E-06,5.13007E-01
-2.5408E-06,5.21522E-01
-2.5400E-06,5.21522E-01
-2.5392E-06,5.23651E-01
-2.5384E-06,5.13007E-01
-2.5376E-06,5.17265E-01
-2.5368E-06,5.17265E-01
-2.5360E-06,5.19394E-01
-2.5352E-06,5.21522E-01
-2.5344E-06,5.17265E-01
-2.5336E-06,5.19394E-01
-2.5328E-06,5.19394E-01
-2.5320E-06,5.15136E-01
-2.5312E-06,5.13007E-01
-2.5304E-06,5.17265E-01
-2.5296E-06,5.13007E-01
-2.5288E-06,5.15136E-01
-2.5280E-06,5.23651E-01
-2.5272E-06,5.13007E-01
-2.5264E-06,5.21522E-01
-2.5256E-06,5.21522E-01
-2.5248E-06,5.19394E-01
-2.5240E-06,5.17265E-01
-2.5232E-06,5.19394E-01
-2.5224E-06,5.17265E-01
-2.5216E-06,5.13007E-01
-2.5208E-06,5.21522E-01
-2.5200E-06,5.21522E-01
-2.5192E-06,5.19394E-01
-2.5184E-06,5.10878E-01
-2.5176E-06,5.13007E-01
-2.5168E-06,5.17265E-01
-2.5160E-06,5.15136E-01
-2.5152E-06,5.23651E-01
-2.5144E-06,5.17265E-01
-2.5136E-06,5.19394E-01
-2.5128E-06,5.19394E-01
-2.5120E-06,5.21522E-01
-2.5112E-06,5.19394E-01
-2.5104E-06,5.13007E-01
-2.5096E-06,5.17265E-01
-2.5088E-06,5.19394E-01
-2.5080E-06,5.13007E-01
-2.5072E-06,5.23651E-01
-2.5064E-06,5.23651E-01
-2.5056E-06,5.23651E-01
-2.5048E-06,5.19394E-01
-2.5040E-06,5.19394E-01
-2.5032E-06,5.21522E-01
-2.5024E-06,5.17265E-01
-2.5016E-06,5.15136E-01
-2.5008E-06,5.13007E-01
-2.5000E-06,5.13007E-01
-2.4992E-06,5.21522E-01
-2.4984E-06,5.15136E-01
-2.4976E-06,5.17265E-01
-2.4968E-06,5.15136E-01
-2.4960E-06,5.15136E-01
-2.4952E-06,5.17265E-01
-2.4944E-06,5.21522E-01
-2.4936E-06,5.17265E-01
-2.4928E-06,5.17265E-01
-2.4920E-06,5.19394E-01
-2.4912E-06,5.13007E-01
-2.4904E-06,5.13007E-01
-2.4896E-06,5.17265E-01
-2.4888E-06,5.19394E-01
-2.4880E-06,5.21522E-01
-2.4872E-06,5.19394E-01
-2.4864E-06,5.17265E-01
-2.4856E-06,5.27909E-01
-2.4848E-06,5.21522E-01
-2.4840E-06,5.15136E-01
-2.4832E-06,5.13007E-01
-2.4824E-06,5.15136E-01
-2.4816E-06,5.21522E-01
-2.4808E-06,5.19394E-01
-2.4800E-06,5.15136E-01
-2.4792E-06,5.17265E-01
-2.4784E-06,5.15136E-01
-2.4776E-06,5.15136E-01
-2.4768E-06,5.17265E-01
-2.4760E-06,5.21522E-01
-2.4752E-06,5.13007E-01
-2.4744E-06,5.13007E-01
-2.4736E-06,5.13007E-01
-2.4728E-06,5.13007E-01
-2.4720E-06,5.13007E-01
-2.4712E-06,5.19394E-01
-2.4704E-06,5.15136E-01
-2.4696E-06,5.17265E-01
-2.4688E-06,5.15136E-01
-2.4680E-06,5.17265E-01
-2.4672E-06,5.19394E-01
-2.4664E-06,5.19394E-01
-2.4656E-06,5.19394E-01
-2.4648E-06,5.15136E-01
-2.4640E-06,5.10878E-01
-2.4632E-06,5.17265E-01
-2.4624E-06,5.06620E-01
-2.4616E-06,5.25780E-01
-2.4608E-06,5.15136E-01
-2.4600E-06,5.21522E-01
-2.4592E-06,5.13007E-01
-2.4584E-06,5.06620E-01
-2.4576E-06,5.15136E-01
-2.4568E-06,5.19394E-01
-2.4560E-06,5.15136E-01
-2.4552E-06,5.17265E-01
-2.4544E-06,5.08749E-01
-2.4536E-06,5.13007E-01
-2.4528E-06,5.13007E-01
-2.4520E-06,5.13007E-01
-2.4512E-06,5.19394E-01
-2.4504E-06,5.17265E-01
-2.4496E-06,5.13007E-01
-2.4488E-06,5.15136E-01
-2.4480E-06,5.10878E-01
-2.4472E-06,5.10878E-01
-2.4464E-06,5.13007E-01
-2.4456E-06,5.21522E-01
-2.4448E-06,5.25780E-01
-2.4440E-06,5.10878E-01
-2.4432E-06,5.19394E-01
-2.4424E-06,5.19394E-01
-2.4416E-06,5.13007E-01
-2.4408E-06,5.19394E-01
-2.4400E-06,5.13007E-01
-2.4392E-06,5.17265E-01
-2.4384E-06,5.15136E-01
-2.4376E-06,5.06620E-01
-2.4368E-06,5.21522E-01
-2.4360E-06,5.15136E-01
-2.4352E-06,5.19394E-01
-2.4344E-06,5.15136E-01
-2.4336E-06,5.08749E-01
-2.4328E-06,5.17265E-01
-2.4320E-06,5.15136E-01
-2.4312E-06,5.15136E-01
-2.4304E-06,5.13007E-01
-2.4296E-06,5.19394E-01
-2.4288E-06,5.13007E-01
-2.4280E-06,5.08749E-01
-2.4272E-06,5.17265E-01
-2.4264E-06,5.13007E-01
-2.4256E-06,5.19394E-01
-2.4248E-06,5.15136E-01
-2.4240E-06,5.15136E-01
-2.4232E-06,5.15136E-01
-2.4224E-06,5.25780E-01
-2.4216E-06,5.17265E-01
-2.4208E-06,5.10878E-01
-2.4200E-06,5.13007E-01
-2.4192E-06,5.08749E-01
-2.4184E-06,5.21522E-01
-2.4176E-06,5.17265E-01
-2.4168E-06,5.10878E-01
-2.4160E-06,5.17265E-01
-2.4152E-06,5.17265E-01
-2.4144E-06,5.15136E-01
-2.4136E-06,5.19394E-01
-2.4128E-06,5.15136E-01
-2.4120E-06,5.13007E-01
-2.4112E-06,5.17265E-01
-2.4104E-06,5.17265E-01
-2.4096E-06,5.19394E-01
-2.4088E-06,5.08749E-01
-2.4080E-06,5.15136E-01
-2.4072E-06,5.13007E-01
-2.4064E-06,5.13007E-01
-2.4056E-06,5.17265E-01
-2.4048E-06,5.08749E-01
-2.4040E-06,5.13007E-01
-2.4032E-06,5.13007E-01
-2.4024E-06,5.13007E-01
-2.4016E-06,5.08749E-01
-2.4008E-06,5.13007E-01
-2.4000E-06,5.15136E-01
-2.3992E-06,5.15136E-01
-2.3984E-06,5.17265E-01
-2.3976E-06,5.15136E-01
-2.3968E-06,5.13007E-01
-2.3960E-06,5.13007E-01
-2.3952E-06,5.06620E-01
-2.3944E-06,5.13007E-01
-2.3936E-06,5.17265E-01
-2.3928E-06,5.10878E-01
-2.3920E-06,5.17265E-01
-2.3912E-06,5.13007E-01
-2.3904E-06,5.13007E-01
-2.3896E-06,5.17265E-01
-2.3888E-06,5.19394E-01
-2.3880E-06,5.17265E-01
-2.3872E-06,5.21522E-01
-2.3864E-06,5.15136E-01
-2.3856E-06,5.13007E-01
-2.3848E-06,5.17265E-01
-2.3840E-06,5.15136E-01
-2.3832E-06,5.13007E-01
-2.3824E-06,5.15136E-01
-2.3816E-06,5.19394E-01
-2.3808E-06,5.15136E-01
-2.3800E-06,5.25780E-01
-2.3792E-06,5.17265E-01
-2.3784E-06,5.10878E-01
-2.3776E-06,5.17265E-01
-2.3768E-06,5.10878E-01
-2.3760E-06,5.13007E-01
-2.3752E-06,5.08749E-01
-2.3744E-06,5.15136E-01
-2.3736E-06,5.21522E-01
-2.3728E-06,5.13007E-01
-2.3720E-06,5.13007E-01
-2.3712E-06,5.17265E-01
-2.3704E-06,5.13007E-01
-2.3696E-06,5.08749E-01
-2.3688E-06,5.13007E-01
-2.3680E-06,5.17265E-01
-2.3672E-06,5.15136E-01
-2.3664E-06,5.21522E-01
-2.3656E-06,5.15136E-01
-2.3648E-06,5.15136E-01
-2.3640E-06,5.19394E-01
-2.3632E-06,5.15136E-01
