in s,C1 in V
-2.9044E-06,-2.12633E-03
-2.9040E-06,-2.06773E-03
-2.9036E-06,-1.97008E-03
-2.9032E-06,-1.69664E-03
-2.9028E-06,-1.61852E-03
-2.9024E-06,-1.54039E-03
-2.9020E-06,-1.30602E-03
-2.9016E-06,-1.26695E-03
-2.9012E-06,-1.09117E-03
-2.9008E-06,-1.11070E-03
-2.9004E-06,-1.16930E-03
-2.9000E-06,-1.18883E-03
-2.8996E-06,-1.07164E-03
-2.8992E-06,-9.54453E-04
-2.8988E-06,-8.56797E-04
-2.8984E-06,-7.98203E-04
-2.8980E-06,-7.39609E-04
-2.8976E-06,-6.22422E-04
-2.8972E-06,-5.44297E-04
-2.8968E-06,-5.24766E-04
-2.8964E-06,-3.88047E-04
-2.8960E-06,-3.48984E-04
-2.8956E-06,-2.70859E-04
-2.8952E-06,-2.12266E-04
-2.8948E-06,-1.14609E-04
-2.8944E-06,-7.55469E-05
-2.8940E-06,8.07031E-05
-2.8936E-06,1.39297E-04
-2.8932E-06,3.54141E-04
-2.8928E-06,4.51797E-04
-2.8924E-06,5.29922E-04
-2.8920E-06,5.88516E-04
-2.8916E-06,7.05703E-04
-2.8912E-06,7.64297E-04
-2.8908E-06,7.83828E-04
-2.8904E-06,8.61953E-04
-2.8900E-06,9.59609E-04
-2.8896E-06,9.20547E-04
-2.8892E-06,1.05727E-03
-2.8888E-06,1.09633E-03
-2.8884E-06,1.19398E-03
-2.8880E-06,1.23305E-03
-2.8876E-06,1.31117E-03
-2.8872E-06,1.31117E-03
-2.8868E-06,1.42836E-03
-2.8864E-06,1.42836E-03
-2.8860E-06,1.44789E-03
-2.8856E-06,1.48695E-03
-2.8852E-06,1.46742E-03
-2.8848E-06,1.48695E-03
-2.8844E-06,1.54555E-03
-2.8840E-06,1.66273E-03
-2.8836E-06,1.77992E-03
-2.8832E-06,1.74086E-03
-2.8828E-06,1.70180E-03
-2.8824E-06,1.70180E-03
-2.8820E-06,1.60414E-03
-2.8816E-06,1.46742E-03
-2.8812E-06,1.46742E-03
-2.8808E-06,1.23305E-03
-2.8804E-06,1.03773E-03
-2.8800E-06,7.64297E-04
-2.8796E-06,6.66641E-04
-2.8792E-06,5.10391E-04
-2.8788E-06,4.51797E-04
-2.8784E-06,2.95547E-04
-2.8780E-06,1.97891E-04
-2.8776E-06,2.57813E-06
-2.8772E-06,-2.70859E-04
-2.8768E-06,-5.44297E-04
-2.8764E-06,-8.56797E-04
-2.8760E-06,-1.05211E-03
-2.8756E-06,-1.20836E-03
-2.8752E-06,-1.46227E-03
-2.8748E-06,-1.63805E-03
-2.8744E-06,-1.81383E-03
-2.8740E-06,-1.85289E-03
-2.8736E-06,-1.83336E-03
-2.8732E-06,-1.79430E-03
-2.8728E-06,-1.69664E-03
-2.8724E-06,-1.73570E-03
-2.8720E-06,-1.71617E-03
-2.8716E-06,-1.65758E-03
-2.8712E-06,-1.69664E-03
-2.8708E-06,-1.81383E-03
-2.8704E-06,-1.67711E-03
-2.8700E-06,-1.63805E-03
-2.8696E-06,-1.55992E-03
-2.8692E-06,-1.42320E-03
-2.8688E-06,-1.30602E-03
-2.8684E-06,-1.32555E-03
-2.8680E-06,-1.28648E-03
-2.8676E-06,-1.28648E-03
-2.8672E-06,-1.32555E-03
-2.8668E-06,-1.28648E-03
-2.8664E-06,-1.42320E-03
-2.8660E-06,-1.48180E-03
-2.8656E-06,-1.69664E-03
-2.8652E-06,-1.65758E-03
-2.8648E-06,-1.67711E-03
-2.8644E-06,-1.61852E-03
-2.8640E-06,-1.52086E-03
-2.8636E-06,-1.42320E-03
-2.8632E-06,-1.42320E-03
-2.8628E-06,-1.40367E-03
-2.8624E-06,-1.38414E-03
-2.8620E-06,-1.22789E-03
-2.8616E-06,-1.20836E-03
-2.8612E-06,-1.11070E-03
-2.8608E-06,-1.24742E-03
-2.8604E-06,-1.07164E-03
-2.8600E-06,-1.16930E-03
-2.8596E-06,-1.16930E-03
-2.8592E-06,-1.30602E-03
-2.8588E-06,-1.34508E-03
-2.8584E-06,-1.44273E-03
-2.8580E-06,-1.69664E-03
-2.8576E-06,-1.89195E-03
-2.8572E-06,-1.91148E-03
-2.8568E-06,-1.93102E-03
-2.8564E-06,-1.91148E-03
-2.8560E-06,-1.87242E-03
-2.8556E-06,-1.91148E-03
-2.8552E-06,-1.97008E-03
-2.8548E-06,-1.89195E-03
-2.8544E-06,-1.87242E-03
-2.8540E-06,-1.75523E-03
